sku,nombre,descripcion_completa,categoria_ct,marca,costo_base,precio_mxn,precio_original,img,brand_logo,ficha_url,costo_proveedor_mxn,precio,precio_mayoreo_10pzs,margen_aplicado,img_local,img_cdn,categoria_clasificada
CARCNN5170,Tanque de Tinta Canon PFI-1000 GY (0552C003AA) Gris. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 GY (0552C003AA) Gris. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5170/CARCNN5170_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5170,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5170.jpg,https://static.ctonline.mx/imagenes/CARCNN5170/CARCNN5170_400.jpg,impresoras_consumibles
CARCNN5180,Tanque de Tinta Canon PFI-1000 PGY (0553C003AA) Photo Gris. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 PGY (0553C003AA) Photo Gris. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5180/CARCNN5180_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5180,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5180.jpg,https://static.ctonline.mx/imagenes/CARCNN5180/CARCNN5180_400.jpg,impresoras_consumibles
CARCNN5190,Tanque de Tinta Canon PFI-1000 R (0554C003AA) Rojo. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 R (0554C003AA) Rojo. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5190/CARCNN5190_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5190,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5190.jpg,https://static.ctonline.mx/imagenes/CARCNN5190/CARCNN5190_400.jpg,impresoras_consumibles
CARCNN5200,Tanque de Tinta Canon PFI-1000 B (0555C003AA) Azul. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 B (0555C003AA) Azul. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5200/CARCNN5200_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5200,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5200.jpg,https://static.ctonline.mx/imagenes/CARCNN5200/CARCNN5200_400.jpg,impresoras_consumibles
CARCNN5210,Tanque de Tinta Canon PFI-1000 CO (0556C003AA) Chroma Optimizer. Contenido: 80ml. Modelos Compatibles: PRO-1000.,Tanque de Tinta Canon PFI-1000 CO (0556C003AA) Chroma Optimizer. Contenido: 80ml. Modelos Compatibles: PRO-1000.,CONSUMIBLES,TANQUE,1203.16,31673.13,39591.41,https://static.ctonline.mx/imagenes/CARCNN5210/CARCNN5210_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN5210,23461.58,31673.13,30089.47,35%,assets/img/catalog/CARCNN5210.jpg,https://static.ctonline.mx/imagenes/CARCNN5210/CARCNN5210_400.jpg,impresoras_consumibles
CARCNN4700,"Tanque de Tinta Canon GI-190 BK (0667C001AA/AB) Negro. Contenido: 135ml. Rendimiento: 6,000 págs. Compatible con: Pixma ","Tanque de Tinta Canon GI-190 BK (0667C001AA/AB) Negro. Contenido: 135ml. Rendimiento: 6,000 págs. Compatible con: Pixma G1100, G2100, G3100.",CONSUMIBLES,TANQUE,207.48,5462.02,6827.53,https://static.ctonline.mx/imagenes/CARCNN4700/CARCNN4700_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN4700,4045.94,5462.02,5188.92,35%,assets/img/catalog/CARCNN4700.jpg,https://static.ctonline.mx/imagenes/CARCNN4700/CARCNN4700_400.jpg,impresoras_consumibles
CARCNN4710,"Tanque de Tinta Canon GI-190 C (0668C001AA/AB) Cian. Contenido: 70ml. Compatible con: Pixma G1100, G2100, G3100.","Tanque de Tinta Canon GI-190 C (0668C001AA/AB) Cian. Contenido: 70ml. Compatible con: Pixma G1100, G2100, G3100.",CONSUMIBLES,TANQUE,207.49,5462.29,6827.86,https://static.ctonline.mx/imagenes/CARCNN4710/CARCNN4710_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN4710,4046.14,5462.29,5189.18,35%,assets/img/catalog/CARCNN4710.jpg,https://static.ctonline.mx/imagenes/CARCNN4710/CARCNN4710_400.jpg,impresoras_consumibles
CARCNN4720,"Tanque de Tinta Canon GI-190 M (0669C001AA/AB) Magenta. Contenido: 70ml. Compatible con: Pixma G1100, G2100, G3100.","Tanque de Tinta Canon GI-190 M (0669C001AA/AB) Magenta. Contenido: 70ml. Compatible con: Pixma G1100, G2100, G3100.",CONSUMIBLES,TANQUE,207.48,5462.02,6827.53,https://static.ctonline.mx/imagenes/CARCNN4720/CARCNN4720_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN4720,4045.94,5462.02,5188.92,35%,assets/img/catalog/CARCNN4720.jpg,https://static.ctonline.mx/imagenes/CARCNN4720/CARCNN4720_400.jpg,impresoras_consumibles
CARCNN4730,"Tanque de Tinta Canon GI-190 Y (0670C001AA/AB) Amarillo. Contenido: 70ml. Compatible con: Pixma G1100, G2100, G3100.","Tanque de Tinta Canon GI-190 Y (0670C001AA/AB) Amarillo. Contenido: 70ml. Compatible con: Pixma G1100, G2100, G3100.",CONSUMIBLES,TANQUE,207.48,5462.02,6827.53,https://static.ctonline.mx/imagenes/CARCNN4730/CARCNN4730_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN4730,4045.94,5462.02,5188.92,35%,assets/img/catalog/CARCNN4730.jpg,https://static.ctonline.mx/imagenes/CARCNN4730/CARCNN4730_400.jpg,impresoras_consumibles
CARCNN6430,"Tanque de tinta CANON GI-11 BK 4525C001AA Tinta Continua. Color negro, contenido 70 ml, compatible con G5010/G6010/G7010","Tanque de tinta CANON GI-11 BK 4525C001AA Tinta Continua. Color negro, contenido 70 ml, compatible con G5010/G6010/G7010/G2I60/G3160. Rendimiento de hasta 7,600 paginas.",CONSUMIBLES,TANQUE,269.47,7093.9,8867.38,https://static.ctonline.mx/imagenes/CARCNN6430/CARCNN6430_400.jpg,https://static.ctonline.mx/marcas/png/TANQUE.png,https://ctonline.mx/buscar/productos?b=CARCNN6430,5254.74,7093.9,6739.2,35%,assets/img/catalog/CARCNN6430.jpg,https://static.ctonline.mx/imagenes/CARCNN6430/CARCNN6430_400.jpg,impresoras_consumibles
