sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl
GABMVA070,GABMVA070,Gabinete de pared ENSON ENS-RKGB6UD 6ur puerta frontal de cristal templado con cerradura de seg,"Gabinete de pared ENSON ENS-RKGB6UD 6ur puerta frontal de cristal templado con cerradura de seguridad ranuras de ventilación en la parte superior para 2 ventiladores de 11 cm 600x450x368mm, *requiere ensamblaje*",ENSON,d,73.50000000000001,1433.25,73.5,2149.88,2149.88,2866.5,2006.55,1719.9,conectividad_redes,./assets/img/catalog/conectividad_redes/GABMVA070.jpg,https://static.ctonline.mx/imagenes/GABMVA070/GABMVA070_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABMVA060,GABMVA060,Gabinete de Pared ENSON ENS-RKGB9U2 9U Ensamblado 600X6000MM,Gabinete de Pared ENSON ENS-RKGB9U2 9U Ensamblado 600X6000MM,ENSON,d,136.5340909090909,2662.41,136.53,3993.61,3993.61,5324.82,3727.37,3194.89,conectividad_redes,./assets/img/catalog/conectividad_redes/GABMVA060.jpg,https://static.ctonline.mx/imagenes/GABMVA060/GABMVA060_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCENS120,ACCENS120,Tapa ciega para rack o gabinete ENSON ENS-FLAT1 fabricada en lamina de acero calibre 22 ideal p,Tapa ciega para rack o gabinete ENSON ENS-FLAT1 fabricada en lamina de acero calibre 22 ideal para cubrir espacios vacíos en racks o gabinetes cumple con norma EIA,CT,d,3.5294117647058822,68.82,3.53,103.23,103.23,137.64,96.35,82.58,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCENS120.jpg,https://static.ctonline.mx/imagenes/ACCENS120/ACCENS120_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCENS020,ACCENS020,Barra Multicontactos PDU ENSON ENS-PDU6 Horizontal  1UR Boton de encendido y apagado 6 contacto,Barra Multicontactos PDU ENSON ENS-PDU6 Horizontal  1UR Boton de encendido y apagado 6 contactos frontales tipo NEMA 5-15R Voltaje 110VCA 50/60HZ.,PDU,d,24.545454545454547,478.64,24.55,717.96,717.96,957.28,670.1,574.37,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCENS020.jpg,https://static.ctonline.mx/imagenes/ACCENS020/ACCENS020_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCMVA1430,ACCMVA1430,Organizador horizontal frontal para rack ENSON ENS-CM24 2UR con peines de policarbonato tapa re,Organizador horizontal frontal para rack ENSON ENS-CM24 2UR con peines de policarbonato tapa removible y abatible para mayor protección y mejor acceso cumple con la norma EIA,CT,d,12.705882352941178,247.76,12.71,371.64,371.64,495.52,346.86,297.31,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA1430.jpg,https://static.ctonline.mx/imagenes/ACCMVA1430/ACCMVA1430_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCMVA1440,ACCMVA1440,"Charola para rack ENSON ENS-RTR1U Fijacion frontal a dos puntos solida 1 Unidad de rack, Compat","Charola para rack ENSON ENS-RTR1U Fijacion frontal a dos puntos solida 1 Unidad de rack, Compatible con racks y gabinetes ENSON.",ENSON,d,13.636363636363637,265.91,13.64,398.87,398.87,531.82,372.27,319.09,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA1440.jpg,https://static.ctonline.mx/imagenes/ACCMVA1440/ACCMVA1440_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCMVA1390,ACCMVA1390,Organizador horizontal frontal para rack ENSON ENS-CM14 1UR con peines de policarbonato tapa re,Organizador horizontal frontal para rack ENSON ENS-CM14 1UR con peines de policarbonato tapa removible y abatible para mayor protección y mejor acceso cumple con norma eia,CT,d,7.5,146.25,7.5,219.38,219.38,292.5,204.75,175.5,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCMVA1390.jpg,https://static.ctonline.mx/imagenes/ACCMVA1390/ACCMVA1390_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCENS130,ACCENS130,Charola Corrediza ENSON ENS-RTM1 fijación a cuatro puntos ventilada ideal para la colocación de,"Charola Corrediza ENSON ENS-RTM1 fijación a cuatro puntos ventilada ideal para la colocación de teclados en site de 1 unidad de rack, compatible con Gabinetes ENSON",ENSON,d,34.0,663.0,34.0,994.5,994.5,1326.0,928.2,795.6,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCENS130.jpg,https://static.ctonline.mx/imagenes/ACCENS130/ACCENS130_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCENS100,ACCENS100,Ventilador ENSON ENS-FAN-120 120 x 120 mm 110vca con cable y clavija para Gabinetes ENSON y otr,Ventilador ENSON ENS-FAN-120 120 x 120 mm 110vca con cable y clavija para Gabinetes ENSON y otras marcas,ENSON,d,10.576470588235294,206.24,10.58,309.36,309.36,412.48,288.74,247.49,conectividad_redes,./assets/img/catalog/conectividad_redes/ACCENS100.jpg,https://static.ctonline.mx/imagenes/ACCENS100/ACCENS100_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ROUNEX010,ROUNEX010,"Nextt Home Router inalámbrico-N ARNEL304U1 / Ofrece velocidades inalámbricas de hasta 300Mbps, ","Nextt Home Router inalámbrico-N ARNEL304U1 / Ofrece velocidades inalámbricas de hasta 300Mbps, dos puertos de 10/100 Mbps, funciona como router, repetidor universal y punto de acceso inalámbrico, acceso para huésped en redes segmentadas, control de acceso para menores",CT,d,13.329545454545455,259.93,13.33,389.89,389.89,519.86,363.9,311.92,conectividad_redes,./assets/img/catalog/conectividad_redes/ROUNEX010.jpg,https://static.ctonline.mx/imagenes/ROUNEX010/ROUNEX010_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
